id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,total_assets,asset_turnover,asset_turnover_calculated,asset_turnover_match
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,907,1.8225,1.82,True
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,1139,1.9982,2.0,True
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,1139,1.9982,2.0,True
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,1374,1.6659,1.67,True
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,1374,1.6659,1.67,True
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,1616,1.6176,1.62,True
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,1616,1.6176,1.62,True
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,2066,1.4051,1.41,True
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,2066,1.4051,1.41,True
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,2416,1.3651,1.37,True
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,2416,1.3651,1.37,True
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,2941,1.2509,1.25,True
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,2941,1.2509,1.25,True
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,3547,1.1539,1.15,True
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,3547,1.1539,1.15,True
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,3840,1.1224,1.12,True
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,3840,1.1224,1.12,True
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,4224,1.1631,1.16,True
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,4224,1.1631,1.16,True
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,4556,1.1741,1.17,True
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,4556,1.1741,1.17,True
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,5193,1.1263,1.13,True
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,5193,1.1263,1.13,True
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,0,,,False
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,11492,0.0114,0.01,True
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,11746,0.1868,0.19,True
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,12811,0.2245,0.22,True
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,17265,0.2284,0.23,True
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,32558,0.2244,0.22,True
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,39711,0.2875,0.29,True
93,ADANIENSOL,Mar 2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,43234,0.2296,0.23,True
94,ADANIENSOL,Mar 2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,47464,0.2372,0.24,True
95,ADANIENSOL,Mar 2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,53932,0.2465,0.25,True
96,ADANIENSOL,Mar 2024,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,58538,0.2837,0.28,True
98,ADANIENT,Mar 2013,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,111871,0.4145,0.41,True
99,ADANIENT,Mar 2014,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,118102,0.4653,0.47,True
100,ADANIENT,Mar 2015,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,130718,0.4932,0.49,True
101,ADANIENT,Mar 2016,34008,32325,1684.0,5.0,1044,1357,314,1056,7.0,1000,9.0,4.0,41679,0.816,0.82,True
102,ADANIENT,Mar 2017,36533,34631,1902.0,5.0,749,1257,315,1079,25.0,925,9.0,4.0,47611,0.7673,0.77,True
103,ADANIENT,Mar 2018,35924,33886,2038.0,6.0,363,1250,664,487,23.0,594,7.0,6.0,56405,0.6369,0.64,True
104,ADANIENT,Mar 2019,40379,38409,1969.0,5.0,504,1625,390,459,32.0,506,7.0,6.0,42536,0.9493,0.95,True
105,ADANIENT,Mar 2020,43403,41108,2294.0,5.0,872,1572,472,1122,29.0,1040,10.0,10.0,46875,0.9259,0.93,True
106,ADANIENT,Mar 2021,39537,37031,2506.0,6.0,494,1377,537,1086,31.0,1046,8.0,12.0,51617,0.766,0.77,True
107,ADANIENT,Mar 2022,69420,65707,3714.0,5.0,1012,2526,1248,952,50.0,788,7.0,14.0,101586,0.6834,0.68,True
108,ADANIENT,Mar 2023,127540,118722,8818.0,7.0,834,3969,2436,3247,32.0,2422,22.0,6.0,141278,0.9028,0.9,True
109,ADANIENT,Mar 2024,96421,85044,11377.0,12.0,1146,4555,3042,4926,33.0,3335,28.0,5.0,160586,0.6004,0.6,True
111,ADANIGREEN,Mar 2017,502,98,403.0,80.0,80,334,333,-184,-75.0,-47,0.0,0.0,6160,0.0815,0.08,True
112,ADANIGREEN,Mar 2018,1480,637,843.0,57.0,42,552,543,-210,-35.0,-138,-1.0,0.0,15709,0.0942,0.09,True
113,ADANIGREEN,Mar 2019,2058,532,1526.0,74.0,73,1121,1062,-585,-19.0,-475,-3.0,0.0,14658,0.1404,0.14,True
114,ADANIGREEN,Mar 2020,2549,1098,1450.0,57.0,-111,995,394,-50,23.0,-68,0.0,0.0,18424,0.1384,0.14,True
115,ADANIGREEN,Mar 2021,3124,883,2241.0,72.0,391,1953,486,193,6.0,182,1.0,0.0,28692,0.1089,0.11,True
116,ADANIGREEN,Mar 2022,5133,1621,3512.0,68.0,507,2617,849,553,12.0,489,3.0,0.0,58954,0.0871,0.09,True
117,ADANIGREEN,Mar 2023,7776,2806,4970.0,64.0,667,2911,1300,1426,32.0,973,6.0,0.0,66909,0.1162,0.12,True
118,ADANIGREEN,Mar 2024,9220,1902,7318.0,79.0,1262,5006,1903,1671,25.0,1260,7.0,0.0,88086,0.1047,0.1,True
120,ADANIPORTS,Mar 2013,3577,1195,2382.0,67.0,344,542,422,1762,7.0,1639,8.0,12.0,21035,0.17,0.17,True
