company_id,year,cash_from_operations_cr,capex_cr,free_cash_flow_cr,free_cash_flow_calculated,fcf_match,source_available,validation_status
ABB,Dec 2012,101.0,59.0,42.0,42.0,True,True,Match
ABB,Mar 2014,155.0,144.0,11.0,11.0,True,True,Match
ABB,Mar 2015,215.0,187.0,28.0,28.0,True,True,Match
ABB,Mar 2016,249.0,77.0,172.0,172.0,True,True,Match
ABB,Mar 2017,307.0,155.0,152.0,152.0,True,True,Match
ABB,Mar 2018,153.0,215.0,-62.0,-62.0,True,True,Match
ABB,Mar 2019,499.0,257.0,242.0,242.0,True,True,Match
ABB,Mar 2020,626.0,401.0,225.0,225.0,True,True,Match
ABB,Mar 2021,727.0,72.0,655.0,655.0,True,True,Match
ABB,Mar 2022,948.0,396.0,552.0,552.0,True,True,Match
ABB,Mar 2023,893.0,148.0,745.0,745.0,True,True,Match
ABB,Mar 2024,1213.0,416.0,797.0,797.0,True,True,Match
ADANIENSOL,Mar 2014,0.0,0.0,0.0,0.0,True,True,Match
ADANIENSOL,Mar 2015,-35.0,1864.0,-1899.0,-1899.0,True,True,Match
ADANIENSOL,Mar 2016,1544.0,816.0,728.0,728.0,True,True,Match
ADANIENSOL,Mar 2017,2189.0,1730.0,459.0,459.0,True,True,Match
ADANIENSOL,Mar 2018,2198.0,3192.0,-994.0,-994.0,True,True,Match
ADANIENSOL,Mar 2019,2591.0,3050.0,-459.0,-459.0,True,True,Match
ADANIENSOL,Mar 2020,5437.0,5643.0,-206.0,-206.0,True,True,Match
ADANIENSOL,Mar 2021,3784.0,4009.0,-225.0,-225.0,True,True,Match
ADANIENSOL,Mar 2022,4097.0,3936.0,161.0,161.0,True,True,Match
ADANIENSOL,Mar 2023,3777.0,4699.0,-922.0,-922.0,True,True,Match
ADANIENSOL,Mar 2024,6038.0,4943.0,1095.0,1095.0,True,True,Match
ADANIENT,Mar 2013,7666.0,14790.0,-7124.0,-7124.0,True,True,Match
ADANIENT,Mar 2014,8228.0,8007.0,221.0,221.0,True,True,Match
ADANIENT,Mar 2015,8532.0,11465.0,-2933.0,-2933.0,True,True,Match
ADANIENT,Mar 2016,5112.0,1825.0,3287.0,3287.0,True,True,Match
ADANIENT,Mar 2017,774.0,1460.0,-686.0,-686.0,True,True,Match
ADANIENT,Mar 2018,2942.0,7649.0,-4707.0,-4707.0,True,True,Match
ADANIENT,Mar 2019,3236.0,2487.0,5723.0,749.0,False,True,Mismatch
ADANIENT,Mar 2020,2454.0,1082.0,1372.0,1372.0,True,True,Match
