company_id,year,operating_profit,interest,interest_coverage,interest_coverage_calculated,interest_coverage_match,source_available,validation_status
ABB,Dec 2012,202.0,0,,,False,False,Source unavailable
ABB,Mar 2014,267.0,0,,,False,False,Source unavailable
ABB,Mar 2015,312.0,0,,,False,False,Source unavailable
ABB,Mar 2016,365.0,3,138.3333,121.67,False,True,Mismatch
ABB,Mar 2017,398.0,2,227.5,199.0,False,True,Mismatch
ABB,Mar 2018,525.0,4,160.5,131.25,False,True,Mismatch
ABB,Mar 2019,605.0,2,359.0,302.5,False,True,Mismatch
ABB,Mar 2020,757.0,9,96.7778,84.11,False,True,Mismatch
ABB,Mar 2021,922.0,18,55.7222,51.22,False,True,Mismatch
ABB,Mar 2022,1082.0,19,61.3158,56.95,False,True,Mismatch
ABB,Mar 2023,1206.0,16,85.0,75.38,False,True,Mismatch
ABB,Mar 2024,1453.0,12,141.75,121.08,False,True,Mismatch
ABB,TTM,1547.0,11,,140.64,False,False,Source unavailable
ADANIENSOL,Mar 2014,0.0,0,,,False,False,Source unavailable
ADANIENSOL,Mar 2015,101.0,73,1.4247,1.38,False,True,Mismatch
ADANIENSOL,Mar 2016,1927.0,957,2.0867,2.01,False,True,Mismatch
ADANIENSOL,Mar 2017,1983.0,904,2.2179,2.19,False,True,Mismatch
ADANIENSOL,Mar 2018,2826.0,886,3.3149,3.19,False,True,Mismatch
ADANIENSOL,Mar 2019,2778.0,1391,2.2387,2.0,False,True,Mismatch
ADANIENSOL,Mar 2020,4258.0,2238,2.0192,1.9,False,True,Mismatch
ADANIENSOL,Mar 2021,3950.0,2117,2.3925,1.87,False,True,Mismatch
ADANIENSOL,Mar 2022,4206.0,2365,2.3222,1.78,False,True,Mismatch
ADANIENSOL,Mar 2023,4518.0,2781,2.1938,1.62,False,True,Mismatch
ADANIENSOL,Mar 2024,5711.0,2767,2.2848,2.06,False,True,Mismatch
ADANIENSOL,TTM,6592.0,3183,,2.07,False,False,Source unavailable
ADANIENT,Mar 2013,6021.0,3492,2.2325,1.72,False,True,Mismatch
ADANIENT,Mar 2014,9383.0,5703,1.8482,1.65,False,True,Mismatch
ADANIENT,Mar 2015,12450.0,7056,1.8767,1.76,False,True,Mismatch
ADANIENT,Mar 2016,1684.0,1357,2.0103,1.24,False,True,Mismatch
ADANIENT,Mar 2017,1902.0,1257,2.109,1.51,False,True,Mismatch
ADANIENT,Mar 2018,2038.0,1250,1.9208,1.63,False,True,Mismatch
ADANIENT,Mar 2019,1969.0,1625,1.5218,1.21,False,True,Mismatch
ADANIENT,Mar 2020,2294.0,1572,2.014,1.46,False,True,Mismatch
ADANIENT,Mar 2021,2506.0,1377,2.1786,1.82,False,True,Mismatch
ADANIENT,Mar 2022,3714.0,2526,1.8709,1.47,False,True,Mismatch
ADANIENT,Mar 2023,8818.0,3969,2.4318,2.22,False,True,Mismatch
ADANIENT,Mar 2024,11377.0,4555,2.7493,2.5,False,True,Mismatch
ADANIENT,TTM,13893.0,4150,,3.35,False,False,Source unavailable
ADANIGREEN,Mar 2017,403.0,334,1.4461,1.21,False,True,Mismatch
ADANIGREEN,Mar 2018,843.0,552,1.6033,1.53,False,True,Mismatch
ADANIGREEN,Mar 2019,1526.0,1121,1.4264,1.36,False,True,Mismatch
ADANIGREEN,Mar 2020,1450.0,995,1.3457,1.46,False,True,Mismatch
ADANIGREEN,Mar 2021,2241.0,1953,1.3477,1.15,False,True,Mismatch
ADANIGREEN,Mar 2022,3512.0,2617,1.5357,1.34,False,True,Mismatch
ADANIGREEN,Mar 2023,4970.0,2911,1.9364,1.71,False,True,Mismatch
ADANIGREEN,Mar 2024,7318.0,5006,1.7139,1.46,False,True,Mismatch
ADANIGREEN,TTM,8100.0,4959,,1.63,False,False,Source unavailable
ADANIPORTS,Mar 2013,2382.0,542,5.0295,4.39,False,True,Mismatch
ADANIPORTS,Mar 2014,2919.0,977,3.6888,2.99,False,True,Mismatch
ADANIPORTS,Mar 2015,3902.0,1175,3.9047,3.32,False,True,Mismatch
ADANIPORTS,Mar 2016,4577.0,1124,4.7215,4.07,False,True,Mismatch
ADANIPORTS,Mar 2017,5418.0,1116,5.7841,4.85,False,True,Mismatch
ADANIPORTS,Mar 2018,7157.0,1579,5.0671,4.53,False,True,Mismatch
ADANIPORTS,Mar 2019,6596.0,1385,5.6931,4.76,False,True,Mismatch
ADANIPORTS,Mar 2020,5947.0,1951,4.0364,3.05,False,True,Mismatch
ADANIPORTS,Mar 2021,8688.0,2255,4.7251,3.85,False,True,Mismatch
ADANIPORTS,Mar 2022,9528.0,2544,4.4654,3.75,False,True,Mismatch
ADANIPORTS,Mar 2023,10947.0,2363,4.7711,4.63,False,True,Mismatch
ADANIPORTS,Mar 2024,15589.0,2733,5.9495,5.7,False,True,Mismatch
ADANIPORTS,TTM,17165.0,2591,,6.62,False,False,Source unavailable
ADANIPOWER,Mar 2013,960.0,1703,0.69,0.56,False,True,Mismatch
ADANIPOWER,Mar 2014,4593.0,4162,1.1365,1.1,False,True,Mismatch
ADANIPOWER,Mar 2015,4678.0,4864,1.206,0.96,False,True,Mismatch
ADANIPOWER,Mar 2016,8802.0,5560,1.5469,1.58,False,True,Mismatch
ADANIPOWER,Mar 2017,5980.0,5902,0.3921,1.01,False,True,Mismatch
ADANIPOWER,Mar 2018,5436.0,5570,1.1113,0.98,False,True,Mismatch
ADANIPOWER,Mar 2019,4983.0,5657,1.3136,0.88,False,True,Mismatch
ADANIPOWER,Mar 2020,5734.0,5315,1.1396,1.08,False,True,Mismatch
ADANIPOWER,Mar 2021,8688.0,5106,2.0754,1.7,False,True,Mismatch
ADANIPOWER,Mar 2022,9881.0,4095,3.3673,2.41,False,True,Mismatch
ADANIPOWER,Mar 2023,10096.0,3334,4.2927,3.03,False,True,Mismatch
ADANIPOWER,Mar 2024,18228.0,3388,8.2972,5.38,False,True,Mismatch
ADANIPOWER,TTM,20965.0,3235,,6.48,False,False,Source unavailable
AMBUJACEM,Dec 2012,2473.0,78,32.5897,31.71,False,True,Mismatch
AMBUJACEM,Dec 2013,1669.0,67,30.7313,24.91,False,True,Mismatch
AMBUJACEM,Dec 2014,1934.0,66,35.6515,29.3,False,True,Mismatch
AMBUJACEM,Dec 2015,1542.0,92,20.5978,16.76,False,True,Mismatch
AMBUJACEM,Dec 2016,3181.0,153,23.6732,20.79,False,True,Mismatch
AMBUJACEM,Dec 2017,3858.0,206,20.3544,18.73,False,True,Mismatch
AMBUJACEM,Dec 2018,4011.0,170,24.9588,23.59,False,True,Mismatch
AMBUJACEM,Dec 2019,4597.0,170,30.5765,27.04,False,True,Mismatch
AMBUJACEM,Dec 2020,5006.0,140,37.8143,35.76,False,True,Mismatch
AMBUJACEM,Dec 2021,6210.0,146,44.2603,42.53,False,True,Mismatch
AMBUJACEM,Mar 2023 15,5122.0,195,,26.27,False,False,Source unavailable
AMBUJACEM,Mar 2024,6400.0,276,28.2645,23.19,False,True,Mismatch
AMBUJACEM,TTM,5822.0,298,,19.54,False,False,Source unavailable
APOLLOHOSP,Mar 2013,612.0,103,6.2621,5.94,False,True,Mismatch
