company_id,year,sales,net_profit,net_profit_margin_pct,net_profit_margin_calculated,net_profit_margin_match,source_available,validation_status
ABB,Dec 2012,1653,145,8.77,8.77,True,True,Match
ABB,Mar 2014,2276,198,8.7,8.7,True,True,Match
ABB,Mar 2015,2289,229,10.0,10.0,True,True,Match
ABB,Mar 2016,2614,255,9.76,9.76,True,True,Match
ABB,Mar 2017,2903,277,9.54,9.54,True,True,Match
ABB,Mar 2018,3298,401,12.16,12.16,True,True,Match
ABB,Mar 2019,3679,450,12.23,12.23,True,True,Match
ABB,Mar 2020,4093,593,14.49,14.49,True,True,Match
ABB,Mar 2021,4310,691,16.03,16.03,True,True,Match
ABB,Mar 2022,4913,799,16.26,16.26,True,True,Match
ABB,Mar 2023,5349,949,17.74,17.74,True,True,Match
ABB,Mar 2024,5849,1201,20.53,20.53,True,True,Match
ABB,TTM,6066,1285,,21.18,False,False,Source unavailable
ADANIENSOL,Mar 2014,0,0,,,False,False,Source unavailable
ADANIENSOL,Mar 2015,131,-7,-5.34,-5.34,True,True,Match
ADANIENSOL,Mar 2016,2194,368,16.77,16.77,True,True,Match
ADANIENSOL,Mar 2017,2876,416,14.46,14.46,True,True,Match
ADANIENSOL,Mar 2018,3944,1143,28.98,28.98,True,True,Match
ADANIENSOL,Mar 2019,7305,559,7.649999999999999,7.65,True,True,Match
ADANIENSOL,Mar 2020,11416,706,6.18,6.18,True,True,Match
ADANIENSOL,Mar 2021,9926,1290,13.0,13.0,True,True,Match
ADANIENSOL,Mar 2022,11258,1236,10.98,10.98,True,True,Match
ADANIENSOL,Mar 2023,13293,1281,9.64,9.64,True,True,Match
ADANIENSOL,Mar 2024,16607,1196,7.199999999999999,7.2,True,True,Match
ADANIENSOL,TTM,22099,589,,2.67,False,False,Source unavailable
ADANIENT,Mar 2013,46375,1218,2.63,2.63,True,True,Match
ADANIENT,Mar 2014,54947,2646,4.82,4.82,True,True,Match
ADANIENT,Mar 2015,64465,2298,3.56,3.56,True,True,Match
ADANIENT,Mar 2016,34008,1000,2.94,2.94,True,True,Match
ADANIENT,Mar 2017,36533,925,2.53,2.53,True,True,Match
ADANIENT,Mar 2018,35924,594,1.65,1.65,True,True,Match
ADANIENT,Mar 2019,40379,506,1.25,1.25,True,True,Match
ADANIENT,Mar 2020,43403,1040,2.4,2.4,True,True,Match
ADANIENT,Mar 2021,39537,1046,2.65,2.65,True,True,Match
ADANIENT,Mar 2022,69420,788,1.14,1.14,True,True,Match
ADANIENT,Mar 2023,127540,2422,1.9,1.9,True,True,Match
ADANIENT,Mar 2024,96421,3335,3.46,3.46,True,True,Match
ADANIENT,TTM,102311,6086,,5.95,False,False,Source unavailable
ADANIGREEN,Mar 2017,502,-47,-9.36,-9.36,True,True,Match
ADANIGREEN,Mar 2018,1480,-138,-9.32,-9.32,True,True,Match
ADANIGREEN,Mar 2019,2058,-475,-23.08,-23.08,True,True,Match
ADANIGREEN,Mar 2020,2549,-68,-2.67,-2.67,True,True,Match
ADANIGREEN,Mar 2021,3124,182,5.83,5.83,True,True,Match
ADANIGREEN,Mar 2022,5133,489,9.53,9.53,True,True,Match
ADANIGREEN,Mar 2023,7776,973,12.51,12.51,True,True,Match
ADANIGREEN,Mar 2024,9220,1260,13.67,13.67,True,True,Match
ADANIGREEN,TTM,10782,1928,,17.88,False,False,Source unavailable
ADANIPORTS,Mar 2013,3577,1639,45.82,45.82,True,True,Match
ADANIPORTS,Mar 2014,4830,1741,36.05,36.05,True,True,Match
ADANIPORTS,Mar 2015,6152,2324,37.78,37.78,True,True,Match
ADANIPORTS,Mar 2016,7109,2856,40.17,40.17,True,True,Match
ADANIPORTS,Mar 2017,8439,3902,46.23999999999999,46.24,True,True,Match
ADANIPORTS,Mar 2018,11323,3690,32.59,32.59,True,True,Match
ADANIPORTS,Mar 2019,10925,4045,37.03,37.03,True,True,Match
