company_id,year,sales,operating_profit,operating_profit_margin_pct,opm_calculated,opm_match,source_available,validation_status
ABB,Dec 2012,1653,202.0,12.0,12.22,True,True,Match
ABB,Mar 2014,2276,267.0,12.0,11.73,True,True,Match
ABB,Mar 2015,2289,312.0,14.0,13.63,True,True,Match
ABB,Mar 2016,2614,365.0,14.0,13.96,True,True,Match
ABB,Mar 2017,2903,398.0,14.0,13.71,True,True,Match
ABB,Mar 2018,3298,525.0,16.0,15.92,True,True,Match
ABB,Mar 2019,3679,605.0,16.0,16.44,True,True,Match
ABB,Mar 2020,4093,757.0,18.0,18.49,True,True,Match
ABB,Mar 2021,4310,922.0,21.0,21.39,True,True,Match
ABB,Mar 2022,4913,1082.0,22.0,22.02,True,True,Match
ABB,Mar 2023,5349,1206.0,23.0,22.55,True,True,Match
ABB,Mar 2024,5849,1453.0,25.0,24.84,True,True,Match
ABB,TTM,6066,1547.0,,25.5,False,False,Source unavailable
ADANIENSOL,Mar 2014,0,0.0,,,False,False,Source unavailable
ADANIENSOL,Mar 2015,131,101.0,78.0,77.1,False,True,Mismatch
ADANIENSOL,Mar 2016,2194,1927.0,88.0,87.83,True,True,Match
ADANIENSOL,Mar 2017,2876,1983.0,69.0,68.95,True,True,Match
ADANIENSOL,Mar 2018,3944,2826.0,72.0,71.65,True,True,Match
ADANIENSOL,Mar 2019,7305,2778.0,38.0,38.03,True,True,Match
ADANIENSOL,Mar 2020,11416,4258.0,37.0,37.3,True,True,Match
ADANIENSOL,Mar 2021,9926,3950.0,40.0,39.79,True,True,Match
ADANIENSOL,Mar 2022,11258,4206.0,37.0,37.36,True,True,Match
ADANIENSOL,Mar 2023,13293,4518.0,34.0,33.99,True,True,Match
ADANIENSOL,Mar 2024,16607,5711.0,30.0,34.39,False,True,Mismatch
ADANIENSOL,TTM,22099,6592.0,,29.83,False,False,Source unavailable
ADANIENT,Mar 2013,46375,6021.0,13.0,12.98,True,True,Match
ADANIENT,Mar 2014,54947,9383.0,17.0,17.08,True,True,Match
ADANIENT,Mar 2015,64465,12450.0,19.0,19.31,True,True,Match
ADANIENT,Mar 2016,34008,1684.0,5.0,4.95,True,True,Match
ADANIENT,Mar 2017,36533,1902.0,5.0,5.21,True,True,Match
ADANIENT,Mar 2018,35924,2038.0,6.0,5.67,True,True,Match
ADANIENT,Mar 2019,40379,1969.0,5.0,4.88,True,True,Match
ADANIENT,Mar 2020,43403,2294.0,5.0,5.29,True,True,Match
ADANIENT,Mar 2021,39537,2506.0,6.0,6.34,True,True,Match
ADANIENT,Mar 2022,69420,3714.0,5.0,5.35,True,True,Match
ADANIENT,Mar 2023,127540,8818.0,7.0,6.91,True,True,Match
ADANIENT,Mar 2024,96421,11377.0,12.0,11.8,True,True,Match
ADANIENT,TTM,102311,13893.0,,13.58,False,False,Source unavailable
ADANIGREEN,Mar 2017,502,403.0,80.0,80.28,True,True,Match
ADANIGREEN,Mar 2018,1480,843.0,57.0,56.96,True,True,Match
ADANIGREEN,Mar 2019,2058,1526.0,74.0,74.15,True,True,Match
ADANIGREEN,Mar 2020,2549,1450.0,57.0,56.89,True,True,Match
ADANIGREEN,Mar 2021,3124,2241.0,72.0,71.73,True,True,Match
ADANIGREEN,Mar 2022,5133,3512.0,68.0,68.42,True,True,Match
ADANIGREEN,Mar 2023,7776,4970.0,64.0,63.91,True,True,Match
ADANIGREEN,Mar 2024,9220,7318.0,79.0,79.37,True,True,Match
ADANIGREEN,TTM,10782,8100.0,,75.13,False,False,Source unavailable
ADANIPORTS,Mar 2013,3577,2382.0,67.0,66.59,True,True,Match
ADANIPORTS,Mar 2014,4830,2919.0,60.0,60.43,True,True,Match
ADANIPORTS,Mar 2015,6152,3902.0,63.0,63.43,True,True,Match
ADANIPORTS,Mar 2016,7109,4577.0,64.0,64.38,True,True,Match
ADANIPORTS,Mar 2017,8439,5418.0,64.0,64.2,True,True,Match
ADANIPORTS,Mar 2018,11323,7157.0,63.0,63.21,True,True,Match
ADANIPORTS,Mar 2019,10925,6596.0,60.0,60.38,True,True,Match
ADANIPORTS,Mar 2020,11873,5947.0,50.0,50.09,True,True,Match
ADANIPORTS,Mar 2021,12550,8688.0,69.0,69.23,True,True,Match
ADANIPORTS,Mar 2022,17119,9528.0,56.0,55.66,True,True,Match
ADANIPORTS,Mar 2023,20852,10947.0,52.0,52.5,True,True,Match
ADANIPORTS,Mar 2024,26711,15589.0,58.0,58.36,True,True,Match
ADANIPORTS,TTM,28443,17165.0,,60.35,False,False,Source unavailable
ADANIPOWER,Mar 2013,6692,960.0,14.0,14.35,True,True,Match
ADANIPOWER,Mar 2014,15328,4593.0,30.0,29.96,True,True,Match
ADANIPOWER,Mar 2015,18683,4678.0,25.0,25.04,True,True,Match
ADANIPOWER,Mar 2016,25377,8802.0,35.0,34.68,True,True,Match
ADANIPOWER,Mar 2017,22616,5980.0,26.0,26.44,True,True,Match
ADANIPOWER,Mar 2018,20304,5436.0,27.0,26.77,True,True,Match
ADANIPOWER,Mar 2019,23884,4983.0,21.0,20.86,True,True,Match
ADANIPOWER,Mar 2020,26468,5734.0,22.0,21.66,True,True,Match
ADANIPOWER,Mar 2021,26221,8688.0,33.0,33.13,True,True,Match
ADANIPOWER,Mar 2022,27711,9881.0,36.0,35.66,True,True,Match
ADANIPOWER,Mar 2023,38773,10096.0,26.0,26.04,True,True,Match
ADANIPOWER,Mar 2024,50351,18228.0,36.0,36.2,True,True,Match
ADANIPOWER,TTM,54650,20965.0,,38.36,False,False,Source unavailable
AMBUJACEM,Dec 2012,9749,2473.0,25.0,25.37,True,True,Match
AMBUJACEM,Dec 2013,9161,1669.0,18.0,18.22,True,True,Match
AMBUJACEM,Dec 2014,9955,1934.0,19.0,19.43,True,True,Match
AMBUJACEM,Dec 2015,9437,1542.0,16.0,16.34,True,True,Match
AMBUJACEM,Dec 2016,20094,3181.0,16.0,15.83,True,True,Match
AMBUJACEM,Dec 2017,23609,3858.0,16.0,16.34,True,True,Match
AMBUJACEM,Dec 2018,26041,4011.0,15.0,15.4,True,True,Match
AMBUJACEM,Dec 2019,27104,4597.0,17.0,16.96,True,True,Match
AMBUJACEM,Dec 2020,24516,5006.0,20.0,20.42,True,True,Match
AMBUJACEM,Dec 2021,28965,6210.0,21.0,21.44,True,True,Match
AMBUJACEM,Mar 2023 15,38937,5122.0,,13.15,False,False,Source unavailable
AMBUJACEM,Mar 2024,33160,6400.0,19.0,19.3,True,True,Match
AMBUJACEM,TTM,32850,5822.0,,17.72,False,False,Source unavailable
APOLLOHOSP,Mar 2013,3769,612.0,16.0,16.24,True,True,Match
APOLLOHOSP,Mar 2014,4357,676.0,16.0,15.52,True,True,Match
APOLLOHOSP,Mar 2015,5129,737.0,14.0,14.37,True,True,Match
APOLLOHOSP,Mar 2016,6150,684.0,11.0,11.12,True,True,Match
APOLLOHOSP,Mar 2017,7256,734.0,10.0,10.12,True,True,Match
APOLLOHOSP,Mar 2018,8243,801.0,10.0,9.72,True,True,Match
APOLLOHOSP,Mar 2019,9617,1070.0,11.0,11.13,True,True,Match
APOLLOHOSP,Mar 2020,11247,1591.0,14.0,14.15,True,True,Match
APOLLOHOSP,Mar 2021,10560,1140.0,11.0,10.8,True,True,Match
APOLLOHOSP,Mar 2022,14663,2189.0,15.0,14.93,True,True,Match
